,C,1B-DH,2B,3B,SS,OF,LHP,RHP,HS,JC,4YR
0.9993080,1.0000000,1.0000000,1.0000000,1.0000000,0.9976186,1.0000000,0.9888385,0.9937887,1.0000000,1.0000000,0.9938042
0.9771752,0.9969326,0.9918409,0.9857052,0.9801097,0.9713107,0.9815358,0.9374645,0.9571888,0.9908513,0.9880983,0.9572480
0.9410001,0.9849375,0.9742799,0.9607568,0.9479042,0.9269212,0.9512212,0.8413980,0.8918743,0.9721450,0.9661097,0.8920236
0.8861245,0.9688631,0.9496096,0.9242591,0.8995537,0.8585399,0.9059715,0.6925666,0.7896594,0.9456658,0.9343911,0.7899515
0.8091615,0.9478250,0.9161951,0.8736427,0.8318497,0.7628742,0.8427091,0.5046022,0.6507009,0.9096233,0.8907240,0.6511634
0.7098016,0.9209496,0.8726158,0.8072553,0.7437481,0.6420564,0.7601418,0.3143038,0.4882832,0.8625153,0.8334591,0.4888834
0.5922813,0.8874626,0.8179661,0.7251259,0.6376311,0.5051838,0.6599041,0.1622508,0.3267448,0.8034892,0.7620774,0.3273845
0.4655456,0.8467954,0.7521730,0.6295571,0.5198060,0.3669562,0.5471366,0.0676463,0.1913348,0.7327090,0.6776935,0.1918938
0.3415114,0.7987006,0.6762546,0.5252532,0.3996936,0.2432440,0.4300131,0.0223147,0.0964713,0.6516308,0.5833134,0.0968704
0.2318253,0.7433571,0.5924320,0.4187813,0.2877059,0.1456401,0.3181057,0.0057319,0.0413231,0.5630747,0.4836744,0.0415553
0.1445234,0.6814470,0.5040231,0.3173993,0.1925458,0.0780716,0.2200689,0.0011326,0.0148749,0.4710169,0.3846109,0.0149845
0.0821996,0.6141819,0.4150930,0.2275741,0.1190825,0.0371906,0.1415576,0.0001705,0.0044606,0.3800964,0.2920566,0.0045025
0.0424126,0.5432630,0.3299120,0.1536877,0.0677008,0.0156456,0.0842342,0.0000194,0.0011066,0.2949248,0.2109591,0.0011195
0.0197572,0.4707702,0.2523326,0.0973789,0.0352204,0.0057826,0.0461647,0.0000017,0.0002259,0.2193666,0.1444391,0.0002291
0.0082756,0.3989882,0.1852401,0.0576915,0.0167015,0.0018697,0.0232139,0.0000001,0.0000378,0.1559798,0.0934454,0.0000384
0.0031062,0.3301913,0.1302115,0.0318625,0.0071953,0.0005270,0.0106757,0.0000000,0.0000052,0.1057591,0.0569644,0.0000053
0.0010418,0.2664207,0.0874548,0.0163621,0.0028083,0.0001291,0.0044776,0.0000000,0.0000006,0.0682252,0.0326403,0.0000006
0.0003115,0.2092921,0.0560146,0.0077949,0.0009906,0.0000274,0.0017088,0.0000000,0.0000001,0.0417910,0.0175418,0.0000001
0.0000828,0.1598640,0.0341552,0.0034384,0.0003152,0.0000050,0.0005922,0.0000000,0.0000000,0.0242640,0.0088257,0.0000000